buy_index,rent_index,cpi,pir,move_population,subway,department_store,apart_brand,marry,unsold
-0.337373151,-1.102237166,0.999099062,-0.918936117,0.216919494,0.016810513,0.520220998,-0.043828585,-0.11361287,-0.243956091
-0.323109306,-1.095981605,1.292019304,0.133142623,0.193318021,0.016810513,0.520220998,-0.043828585,-0.11361287,-0.243956091
-0.365900842,-1.089726044,-1.458003183,-1.129351865,0.282479144,0.016810513,0.520220998,0.021337166,-0.11361287,-0.243956091
-0.408692379,-1.089726044,-0.987668837,0.063004041,0.049086792,0.016810513,0.520220998,0.021337166,-0.11361287,-0.243956091
-0.43722007,-1.089726044,-0.268663902,1.60605286,0.21036353,0.016810513,0.520220998,0.021337166,-0.11361287,-0.243956091
-0.480011606,-1.095981605,0.362361088,0.168211915,-0.36000542,0.016810513,0.520220998,0.021337166,-0.11361287,-0.243956091
-0.59412237,-1.12100385,0.68820889,-1.374836905,-0.432121034,0.016810513,0.520220998,0.021337166,-0.11361287,-0.243956091
-0.836607743,-1.158537217,1.139326837,-0.883866826,-0.419009104,0.016810513,0.520220998,0.021337166,-0.11361287,-0.243956091
-1.264523108,-1.308670686,1.330452102,0.624112702,-0.167260051,0.016810513,0.520220998,0.151668669,-0.11361287,-0.243956091
-1.407161563,-1.396248543,-1.376878818,0.483835537,0.559140864,0.016810513,0.520220998,0.151668669,-0.125188226,-0.243956091
-1.32157849,-1.396248543,-0.736297565,1.430706403,1.197691849,0.016810513,0.520220998,0.151668669,-0.125188226,-0.243956091
-1.32157849,-1.37748186,-0.090834308,1.816468608,0.28510153,0.016810513,0.520220998,0.151668669,-0.125188226,-0.243956091
-1.221731571,-1.358715176,0.499161074,0.133142623,0.252321705,0.016810513,0.520220998,0.151668669,-0.125188226,-0.243956091
-1.19320388,-1.32743737,0.801741452,-1.269629031,0.629945285,0.016810513,0.520220998,0.151668669,-0.125188226,-0.243956091
-1.079093117,-1.27739288,1.21307626,-0.603312495,0.584053531,0.016810513,0.520220998,0.151668669,-0.125188226,-0.246801715
-0.907926971,-1.233603952,-1.69587104,0.553974119,0.542095355,0.036407902,0.520220998,0.151668669,-0.125188226,-0.258184211
