yyyymm,price_index,sgg
200711,77.3,구로구
200712,77.3,구로구
200802,77.8,구로구
200803,78.6,구로구
200804,80,구로구
200805,80.9,구로구
200806,81.3,구로구
200807,81.7,구로구
200808,82,구로구
200809,82.2,구로구
200810,82.3,구로구
200811,82.1,구로구
200812,81.7,구로구
200801,77.7,구로구
200902,80.7,구로구
200903,80.3,구로구
200904,80.3,구로구
200905,80.2,구로구
200906,80.4,구로구
200907,80.7,구로구
200908,80.9,구로구
200909,81.2,구로구
200910,81.4,구로구
200911,81.5,구로구
200912,81.5,구로구
200901,81.2,구로구
201001,81.5,구로구
201002,81.6,구로구
201003,81.6,구로구
201004,81.6,구로구
201005,81.6,구로구
201006,81.4,구로구
201007,80.8,구로구
201008,80.7,구로구
201009,80.5,구로구
201010,80.3,구로구
201011,80.1,구로구
201012,80,구로구
201101,80.1,구로구
201102,80.3,구로구
201103,80.5,구로구
201104,80.5,구로구
201105,80.5,구로구
201106,80.4,구로구
201107,80.4,구로구
201108,80.3,구로구
201109,80.2,구로구
201110,80.1,구로구
201111,80.1,구로구
201112,79.9,구로구
201201,79.9,구로구
201202,79.9,구로구
201203,79.8,구로구
201204,79.6,구로구
201205,79.5,구로구
201206,79.4,구로구
201207,79.2,구로구
201208,79,구로구
201209,78.7,구로구
201210,78.4,구로구
201211,78.3,구로구
201212,78.2,구로구
201301,78.1,구로구
201302,77.9,구로구
201303,77.6,구로구
201304,77.5,구로구
201305,77.4,구로구
201306,77.2,구로구
201307,76.8,구로구
201308,76.7,구로구
201309,76.7,구로구
201310,76.8,구로구
201311,76.8,구로구
201312,76.6,구로구
201401,76.6,구로구
201402,76.6,구로구
201403,76.7,구로구
201404,76.7,구로구
201405,76.7,구로구
201406,76.6,구로구
201407,76.6,구로구
201408,76.5,구로구
201409,76.6,구로구
201410,76.7,구로구
201411,76.8,구로구
201412,76.7,구로구
201501,76.7,구로구
201502,76.8,구로구
201503,77.1,구로구
201504,77.7,구로구
201505,78.1,구로구
201506,78.6,구로구
201507,79.1,구로구
201508,79.5,구로구
201509,80.4,구로구
201510,80.8,구로구
201511,81.2,구로구
201512,81.4,구로구
201601,81.5,구로구
201602,81.7,구로구
201603,81.8,구로구
201604,81.9,구로구
201605,82,구로구
201606,82.2,구로구
201607,82.5,구로구
201608,82.8,구로구
201609,83,구로구
201610,83.5,구로구
201611,84.2,구로구
201612,84.4,구로구
201701,84.5,구로구
201702,84.6,구로구
201703,84.7,구로구
201704,84.8,구로구
201705,85,구로구
201706,85.5,구로구
201707,86.3,구로구
201708,87,구로구
201709,87.3,구로구
201710,87.6,구로구
201711,87.8,구로구
201712,88,구로구
201801,88.4,구로구
201802,88.6,구로구
201803,89,구로구
201804,89.6,구로구
201805,89.8,구로구
201806,90.5,구로구
201807,91.4,구로구
201808,92.7,구로구
201809,97.2,구로구
201810,99.3,구로구
201811,99.8,구로구
201812,100,구로구
201901,100,구로구
201902,100.1,구로구
201903,100.1,구로구
201904,100,구로구
201905,100,구로구
201906,99.9,구로구
201907,100,구로구
201908,100.3,구로구
200701,74.7,금천구
200702,74.9,금천구
200703,75.3,금천구
200704,75.4,금천구
200705,75.6,금천구
200706,75.7,금천구
200707,75.9,금천구
200708,76,금천구
200709,76.5,금천구
200710,77.2,금천구
200711,77.6,금천구
200712,77.7,금천구
200802,78.9,금천구
200803,80.8,금천구
200804,82.2,금천구
200805,83.8,금천구
200806,85.3,금천구
200807,86.1,금천구
200808,86.4,금천구
200809,87,금천구
200810,87.7,금천구
200811,87.7,금천구
200812,87.4,금천구
200801,78.4,금천구
200902,86.7,금천구
200903,86,금천구
200904,85.9,금천구
200905,85.9,금천구
200906,85.9,금천구
200907,85.7,금천구
200908,85.4,금천구
200909,87,금천구
200910,87.7,금천구
200911,88.1,금천구
200912,88.3,금천구
200901,87.2,금천구
201002,88.1,금천구
201003,88.3,금천구
201004,88.5,금천구
201005,88.3,금천구
201006,87.9,금천구
201007,87.5,금천구
201008,87,금천구
201009,86.7,금천구
201010,86.6,금천구
201011,85.9,금천구
201012,85.1,금천구
201001,87.9,금천구
201101,85.3,금천구
201102,85.3,금천구
201103,85.3,금천구
201104,85.3,금천구
201105,85.2,금천구
201106,85,금천구
201107,84.9,금천구
201108,84.8,금천구
201109,84.7,금천구
201110,84.2,금천구
201111,84.1,금천구
201112,84,금천구
201201,84,금천구
201202,84,금천구
201203,83.9,금천구
201204,83.7,금천구
201205,83.6,금천구
201206,83.6,금천구
201207,83.5,금천구
201208,83.4,금천구
201209,83.3,금천구
201210,83,금천구
201211,82.9,금천구
201212,82.9,금천구
201301,82.2,금천구
201302,81.4,금천구
201303,81.2,금천구
201304,81,금천구
201305,81,금천구
201306,80.4,금천구
201307,80.2,금천구
201308,80.2,금천구
201309,79.9,금천구
201310,80,금천구
201311,80.1,금천구
201312,80.1,금천구
201401,80.2,금천구
201402,80.3,금천구
201403,80.5,금천구
201404,80.6,금천구
201405,80.6,금천구
201406,80.4,금천구
201407,80.4,금천구
201408,80.3,금천구
201409,80.4,금천구
201410,80.8,금천구
201411,81.1,금천구
201412,81.1,금천구
201501,81.2,금천구
201502,81.3,금천구
201503,81.7,금천구
201504,82.2,금천구
201505,82.4,금천구
201506,82.5,금천구
201507,82.8,금천구
201508,83,금천구
201509,83.4,금천구
201510,83.9,금천구
201511,84.4,금천구
201512,84.4,금천구
201601,84.5,금천구
201602,84.7,금천구
201603,84.7,금천구
201604,84.8,금천구
201605,85,금천구
201606,85.2,금천구
201607,85.6,금천구
201608,86,금천구
201609,86.1,금천구
201610,86.4,금천구
201611,86.6,금천구
201612,86.7,금천구
201701,86.7,금천구
201702,86.8,금천구
201703,86.9,금천구
201704,87,금천구
201705,87.1,금천구
201706,87.8,금천구
201707,88.6,금천구
201708,89.2,금천구
201709,89.5,금천구
201710,90,금천구
201711,90.4,금천구
201712,91.4,금천구
201801,91.8,금천구
201802,91.9,금천구
201803,92.2,금천구
201804,92.4,금천구
201805,92.5,금천구
201806,92.9,금천구
201807,93.3,금천구
201808,94.1,금천구
201809,97.3,금천구
201810,99.4,금천구
201811,100,금천구
201812,100,금천구
201901,100,금천구
201902,100,금천구
201903,100,금천구
201904,99.9,금천구
201905,100,금천구
201906,100.1,금천구
201907,100.4,금천구
201908,100.6,금천구
200701,67.6,노원구
200702,68,노원구
200703,68.3,노원구
200704,68.7,노원구
200705,68.8,노원구
200706,69,노원구
200707,69.3,노원구
200708,69.7,노원구
200709,70.1,노원구
200710,71,노원구
200711,71.9,노원구
200712,72.6,노원구
200802,75.8,노원구
200803,80.1,노원구
200804,85.1,노원구
200805,86.9,노원구
200806,87.8,노원구
200807,88.3,노원구
200808,88.3,노원구
200809,88.3,노원구
200810,88.2,노원구
200811,87.7,노원구
200812,86.2,노원구
200801,74,노원구
200902,84.2,노원구
200903,83.8,노원구
200904,83.6,노원구
200905,83.6,노원구
200906,84.1,노원구
200907,85.3,노원구
200908,85.8,노원구
200909,86.8,노원구
200910,87.3,노원구
200911,87.2,노원구
200912,87.3,노원구
200901,85.4,노원구
201002,87.2,노원구
201003,87,노원구
201004,86.4,노원구
201005,85.9,노원구
201006,85.2,노원구
201007,84.7,노원구
201008,84.3,노원구
201009,83.7,노원구
201010,83.4,노원구
201011,83.3,노원구
201012,83.2,노원구
201001,87.2,노원구
201101,83.3,노원구
201102,83.4,노원구
201103,83.5,노원구
201104,83.4,노원구
201105,83.4,노원구
201106,83.3,노원구
201107,83.1,노원구
201108,83,노원구
201109,82.8,노원구
201110,82.7,노원구
201111,82.5,노원구
201112,82.4,노원구
201201,82.3,노원구
201202,82.3,노원구
201203,82.1,노원구
201204,81.9,노원구
201205,81.6,노원구
201206,81.3,노원구
201207,80.8,노원구
201208,80.4,노원구
201209,79.6,노원구
201210,79,노원구
201211,78.8,노원구
201212,78.5,노원구
201301,78.1,노원구
201302,77.9,노원구
