yyyymm,buy_index,sgg,rent_index,cpi,pir,move_population,subway,department_store,apart_brand,marry,unsold
201103,80.1,강동구,68,105.26,25.4,335,10,1,2,3436,309
201104,80,강동구,68.5,78.456,26.9,-55,10,1,2,3436,289
201105,79.8,강동구,68.6,83.53,27.2,-86,10,1,2,3436,262
201106,79.4,강동구,68.8,89.695,29.6,-284,10,1,2,3436,245
201107,78.8,강동구,70.5,96.564,25.5,-201,10,1,2,3436,241
201108,78.8,강동구,71.9,99.56,21.6,-78,10,1,2,3436,205
201109,78.9,강동구,74.1,102.97,23.3,-170,10,1,2,3436,179
201110,78.8,강동구,75.8,74.269,26.4,-273,10,1,2,3436,153
201111,78.6,강동구,75.8,79.548,22.9,-87,10,1,2,3436,133
201112,78.2,강동구,75.8,85.872,31.3,-279,10,1,3,3436,168
201201,78.2,강동구,76.7,91.047,28,-185,10,1,3,3312,158
201202,78.2,강동구,77.7,97.069,23.6,-394,10,1,3,3312,115
201203,78.1,강동구,78.1,100.51,21.9,-710,10,1,3,3312,112
201204,77.7,강동구,77.8,103.16,23.2,-651,10,1,3,3312,112
201205,77.5,강동구,77.5,75.775,26.6,-476,10,1,3,3312,161
201206,77.3,강동구,77.2,80.094,24.1,-364,10,1,3,3312,274
201207,76.8,강동구,76.6,86.808,28.4,-332,10,1,3,3312,271
201208,76,강동구,76.6,93.391,27.8,-227,10,1,3,3312,264
201209,75.2,강동구,76.9,97.438,24,-157,10,1,3,3312,305
201210,75,강동구,77.5,101.03,22.2,-378,10,1,3,3312,289
201211,74.7,강동구,77.8,104.19,22.6,-283,10,1,3,3312,319
201212,74.4,강동구,77.9,76.626,27.1,-268,10,1,3,3312,323
201301,74,강동구,78.2,81.578,24.8,-182,10,1,3,3166,321
201302,74.1,강동구,78.3,88.135,30,-164,10,1,3,3166,325
201303,74.3,강동구,78.4,94.563,27.3,-374,10,1,3,3166,328
201304,74.4,강동구,78.7,98.727,22.8,-402,10,1,3,3166,304
201305,74.4,강동구,78.9,101.15,22.1,-186,10,1,3,3166,258
201306,74.2,강동구,79,104.49,23.5,-349,10,1,3,3166,227
201307,73.9,강동구,79.3,77.752,22,-188,10,1,3,3166,195
201308,73.8,강동구,79.6,82.515,29.7,-199,10,1,3,3166,180
201309,73.7,강동구,80.9,89.154,27.6,-130,10,1,3,3166,166
201310,73.8,강동구,82,95.644,25.5,-303,10,1,3,3166,157
201311,73.8,강동구,82.9,98.845,22.5,-173,10,1,3,3166,145
201312,73.8,강동구,83.7,103,22.3,-519,10,1,3,3166,136
201401,73.7,강동구,84.4,105.17,24.1,-145,10,1,3,2977,126
201402,73.8,강동구,85,78.456,24.1,-190,10,1,3,2977,120
201403,73.9,강동구,85.5,84.466,26.4,-326,10,1,3,2977,114
201404,74,강동구,85.7,90.416,27.5,-354,10,1,3,2977,103
201405,74,강동구,85.6,96.384,25.8,-305,10,1,3,2977,158
201406,73.9,강동구,85.5,99.63,21.7,-198,10,1,3,2977,1019
201407,73.9,강동구,85.6,103.89,21.2,-379,10,1,3,2977,1014
