"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
0,0,0,-0.390085752552931,0,-0.211992473994953,-0.250877491393761,0,-0.16047874518433,0,0,0,0.149438454139716,0,-0.0929293084292456,-0.0766551703859455,0.0236326616547383,-0.0410830542487781,0,0,0,0.0576899350570043,0,0,0
0,0,0,0,-0.181563710829133,0.146383623247226,0,-0.155416579316011,0,0,-0.27635785892085,0,-0.09472086706216,-0.295499446245319,0,0,-0.0292615154393078,0,-0.126545338548078,0,0.0838870883501154,0,0,0,-0.311259496421933
-0.0530802610655138,0,0.0534920142026776,0,0,0.309770548316585,0.271869289468769,0,0,0,0,-0.518758484910944,0,-0.00703329896684271,0,0,0,0.30467871964778,0,0.0541133485223684,0,0,0,-0.0912738012843518,0
0,0,0.104982833769478,0,0,-0.728589123990515,-0.00694251578527871,-0.246367249432353,-0.518143616242966,0,0,0.107493464576378,0,0,0,0,0,0,-0.161424117202982,0,-0.231603129290092,0,-0.034346292585166,0,-0.00880012148630911
0.0145173179412879,0.0316443800957254,-0.0505221251048916,0,-0.347048551719088,0.401565753556474,-0.28599352548293,-0.10366065294391,0,-0.0784410332977634,-0.784745484987273,0,0,-0.0176508378488495,0,0.220093430482021,0,0,-0.126688598162145,0,-0.371419442827218,-0.199748056926427,0,0,0
0,-0.218161065366504,0,0.161062674779709,0.279604739016454,0,0,0.0769591596600571,0,-0.585429873898355,0,0.128646666333738,-0.194086206888581,0,-0.122104348736162,-0.177146029733224,-0.0576257841001045,0,0,0,0,0,0,0,0
-0.0208593022707877,-0.0214141124636495,0.220547878944581,0,0,0,0.284748036914812,-0.352382550874313,0.173665357144993,0,0,0,0.138954200090894,-0.0221997750595251,0,0.0642118711491908,-0.131709848114686,0,0,0,0,0,-0.275547510269093,0,0
0,-0.134867403096966,-0.463372100363549,-0.0617657741376449,0,0,0,0,-0.0150041352899553,0,0,0,0,0,0,0,-0.0256878418233919,-0.144699516816005,0,0,0,0,0.0816855385301003,0.284803511714852,0.0147505420487162
-0.208219791887326,-0.040390068177839,0.455262486180232,-0.0336692753994825,0.0609578012404362,-0.167709790056173,-0.806348602183596,0,0,0,0,0,-0.0151715066038759,0,0,-0.0850840250772945,0,-0.307273084620802,0.0327509627431399,0,0,0,-0.328443928074076,0.871960475129669,-0.061664832263468
0,-0.0884001126113773,0,0.104606327682655,0,-0.21578934738225,0,0.288364686469094,0,-0.0892211724206561,0.205413413127724,-0.281775018293078,-0.283745255522014,0,0,0,-0.0354076016440259,0,0,-0.454591798590532,0.199391252673517,-0.199117869617194,0,0,0
0.0722242283170239,0,-0.00373953051503942,0,-0.165213881922533,0,0,0.0878025138610634,0,-0.0137696801465531,0,-0.168381873480226,-0.0609088724144998,0,0,0,0,0,0,0,0.310176630272073,0.215208685985693,0,0,0
0,-0.0469804992278673,0,-0.223315617159693,0.485743367600876,0,0,0.488115943433642,0,0,0.201269484474523,0.0545172066539292,0,0,-0.235491385579369,-0.0586520714464734,-0.114682060405525,0,0,0,0.287937760363851,-0.186737782578023,0,-0.328468382736079,0
